x,y
1874,0.0021
1875,0.0028
1876,0.0029
1877,0.0031
1878,0.0035
1879,0.0043
1880,0.0053
1881,0.0058
1882,0.006
1883,0.0052
1884,0.0041
1885,0.0026
1886,0.0038
1887,0.0059
1888,0.0084
1889,0.011
1890,0.023
1891,0.026
1892,0.029
1893,0.032
1894,0.037
1895,0.049
1896,0.066
1897,0.085
1898,0.099
1899,0.102
1900,0.114
1901,0.111
1902,0.146
1903,0.186
1904,0.196
1905,0.248
1906,0.295
1907,0.345
1908,0.389
1909,0.443
1910,0.532
1911,0.659
1912,0.7
1913,0.781
1914,0.815
1915,0.862
1916,0.915
1917,1.167
1918,1.358
1919,1.694
1920,1.794
1921,1.979
1922,2.214
1923,2.315
1924,2.556
1925,2.631
1926,2.744
1927,2.898
1928,3.085
1929,3.098
1930,2.943
1931,2.774
1932,2.675
1933,2.809
1934,2.985
1935,3.125
1936,3.335
1937,3.63
1938,4.221
1939,5.096
1940,5.985
1941,6.882
1942,7.319
1943,8.247
1944,8.653
1945,7.037
1946,7.934
1947,8.587
1948,8.111
1949,7.801
1950,8.298
1951,8.733
1952,8.735
1953,9.139
1954,9.385
1955,9.781
1956,10.285
1957,10.837
1958,11.087
1959,11.669
1960,12.29
1961,12.975
1962,13.639
1963,14.498
1964,15.241
1965,15.798
1966,15.923
1967,16.294
1968,16.204
1969,16.034
1970,16.384
1971,16.495
1972,16.785
1973,17.056
1974,17.589
1975,17.588
1976,17.582
1977,17.767
1978,17.76
1979,17.838
1980,18.005
1981,18.218
1982,18.269
1983,18.538
1984,18.753
1985,18.99
1986,19.414
1987,19.978
1988,20.748
1989,21.211
1990,21.939
1991,22.56
1992,22.694
1993,22.759
1994,22.598
1995,22.63
1996,22.593
1997,22.244
1998,22.013
1999,21.75
2000,21.647
2001,21.72
2002,21.561
2003,21.758
2005,21.963
2010,22.669
2015,23.6
