Dataset,Parent figure,Title,x,y,Data source,xmin,xmax,ymin,ymax,Page,Model,Latex.caption,Notes
1.6,yes,,,,,,,,,,,"Prediction of growth of US air travel (in billions of passenger-kilometers) based on the period 1930-1980 (top, the best fit is a quartic regression) and 1930-2015 (bottom, the best fit is a logistic curve with the inflection year in 1987). Data from various annual reports by the International Civil Aviation Organization. ",
1.6.1,1.6,US air travel (1930-1980),Year,US air traffic (billion passenger-km),Annual reports by the International Civil Aviation Organization,1930,2015,0,4500,22,Quartic,Prediction of growth of US air travel (in billions of passenger-kilometers) based on the period 1930-1980. The best fit is a quartic regression. Data from various annual reports by the International Civil Aviation Organization. ,Subfigure of 1.6
1.6.2,1.6,US air travel (1930-2015),Year,US air traffic (billion passenger-km),Annual reports by the International Civil Aviation Organization,1930,2030,0,1200,22,Logistic,Prediction of growth of US air travel (in billions of passenger-kilometers) based on the period 1930-2015. The best fit is a logistic curve with the inflection year in 1987. Data from various annual reports by the International Civil Aviation Organization. ,Subfigure of 1.6
1.13,,Growth of a sunflower plant,Days,Height (cm),Reed and Holland (2019),0,80,0,300,39,Logistic,"Logistic growth (inflection point at 37.1 days, asymptote at 292.9cm) of a sunflower plant plotted by Reed and Holland (2019). ",
1.14,,US population growth,Year,US population (million),Pearl and Reed (1920),1790,1990,0,250,40,Logistic,"Forecast of US population growth based on the logistic curve (inflection point in 1919, asymptote at 197.3 million) fitted to decennial census data between 1790 and 1930. Data from Pearl and Reed (1920).",
1.16,,Cruising speed of airliners,Year,Speed of air travel (km/h),Speeds of specific airplanes,1919,2039,0,1000,45,Logistic,"Logistic curve tracing the growth of cruising speed of commercial airliners 1919-2039 (inflection point in 1945, asymptotic cruising speed of 930.8 km/h). Plotted from data on speeds of specific airplanes, starting with KLM's de Havilland DH-16 in 1919 and ending with Boeing 787 in 2009. ",
1.17,yes,,,,,,,,,,,Fitting Mozart's oeuvre into growth curves: symmetrical (a)and asymmetrical (b) logistic functions and quadratic (c) and quartic (d) regression all have high degrees of fit ($R^2=0.99$) but predict substantially different long-term outcomes for the year 1806 when Mozart (who died in 1791) would have been 50 years old. Compositions by date listed in Giegling et al. (1964).,
1.17.1,1.17,Compositions by Mozart (symmetrical logistic),Year,Number of compositions,Giegling et al. (1964),1761,1806,0,800,47,Logistic,Fitting Mozart's oeuvre into growth curves: symmetrical (a)and asymmetrical (b) logistic functions and quadratic (c) and quartic (d) regression all have high degrees of fit ($R^2=0.99$) but predict substantially different long-term outcomes for the year 1806 when Mozart (who died in 1791) would have been 50 years old. Compositions by date listed in Giegling et al. (1964).,Subfigure of 1.17. Reduced dataset (5-year intervals)
1.17.2,1.17,Compositions by Mozart (asymmetrical logistic),Year,Number of compositions,Giegling et al. (1964),1761,1806,0,1000,47,Asymmetrical logistic,Fitting Mozart's oeuvre into growth curves: symmetrical (a)and asymmetrical (b) logistic functions and quadratic (c) and quartic (d) regression all have high degrees of fit ($R^2=0.99$) but predict substantially different long-term outcomes for the year 1806 when Mozart (who died in 1791) would have been 50 years old. Compositions by date listed in Giegling et al. (1964).,Subfigure of 1.17
1.17.3,1.17,Compositions by Mozart (quadratic),Year,Number of compositions,Giegling et al. (1964),1761,1806,0,1400,47,Quadratic,Fitting Mozart's oeuvre into growth curves: symmetrical (a)and asymmetrical (b) logistic functions and quadratic (c) and quartic (d) regression all have high degrees of fit ($R^2=0.99$) but predict substantially different long-term outcomes for the year 1806 when Mozart (who died in 1791) would have been 50 years old. Compositions by date listed in Giegling et al. (1964).,Subfigure of 1.17
